,patient_id,threshold,community_size,f1_mean,f1_std,f1_median,f1_min,f1_max,precision_mean,precision_std,precision_median,precision_min,precision_max,recall_mean,recall_std,recall_median,recall_min,recall_max
0,R301-0010,0.75,84,0.37774910465746875,0.011066796012181097,0.3778481012658228,0.3666666666666667,0.3894120108809374,0.3413815364265383,0.004435229036904702,0.34238310708898945,0.3348968105065666,0.3471283783783784,0.4448621553884712,0.020577961672131953,0.45112781954887216,0.4235588972431078,0.46961152882205515
1,R301-0010,0.85,6,0.3759272765873636,0.013142519288961037,0.3768686073957514,0.3545143346170304,0.3871252204585538,0.3288497221140443,0.010510895025447968,0.3299811439346323,0.31313131313131315,0.341307066916823,0.45426065162907264,0.024521291282680487,0.4630325814536341,0.41666666666666663,0.481516290726817
2,R301-0010,0.9,1,0.39514987355688574,0.0034766722273151984,0.3950617283950617,0.39043747580332944,0.3986304012345679,0.3388465216953589,0.003589609376514953,0.34011627906976744,0.33495670995670995,0.3430232558139535,0.4963032581453634,0.005400842591355877,0.5,0.4880952380952381,0.5
3,R301-0010,0.95,0,,,,,,,,,,,,,,,
4,R301-0010,0.98,0,,,,,,,,,,,,,,,
5,R302-0008,0.75,242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,R302-0008,0.85,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,R302-0008,0.9,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,R302-0008,0.95,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,R302-0008,0.98,0,,,,,,,,,,,,,,,
10,R303-0014,0.75,194,0.11180323299888517,0.005158805658981631,0.11538461538461539,0.10416666666666667,0.11538461538461539,0.07359477124183006,0.0024059035711511034,0.075,0.06944444444444445,0.075,0.23333333333333334,0.022821773229381916,0.25,0.20833333333333334,0.25
11,R303-0014,0.85,34,0.10215384615384616,0.01457890183443955,0.1,0.08,0.11538461538461539,0.06796992481203007,0.00936516646541756,0.07142857142857142,0.05263157894736842,0.075,0.20833333333333334,0.04166666666666667,0.20833333333333334,0.16666666666666666,0.25
12,R303-0014,0.9,8,0.09753846153846155,0.012609285580088855,0.09615384615384616,0.08,0.11538461538461539,0.06368421052631579,0.008022540095536296,0.0625,0.05263157894736842,0.075,0.20833333333333334,0.029462782549439483,0.20833333333333334,0.16666666666666666,0.25
13,R303-0014,0.95,0,,,,,,,,,,,,,,,
14,R303-0014,0.98,0,,,,,,,,,,,,,,,
15,R303-0016,0.75,140,0.3863832670560575,0.00810836639369629,0.3902345741968384,0.37282293178519593,0.3928128103277061,0.3413357773176606,0.0029019539057608427,0.3422733958448244,0.3368524774774775,0.34449875407322217,0.46299999999999997,0.02307596151842865,0.47,0.425,0.485
16,R303-0016,0.85,34,0.3883139908862037,0.004033303283802787,0.38921425857920733,0.38154088050314466,0.39180231841164137,0.33961643803148656,0.0026626939498397774,0.3404582467082467,0.33497747747747747,0.3415551473803901,0.477,0.008366600265340763,0.475,0.46499999999999997,0.485
17,R303-0016,0.9,7,0.3923091816089267,0.0023490679501382396,0.3928128103277061,0.38853434455543223,0.394874213836478,0.3416734848702781,0.0022341816363425485,0.3409034034034034,0.3391279629143707,0.3449774774774775,0.487,0.005700877125495695,0.485,0.48,0.495
18,R303-0016,0.95,0,,,,,,,,,,,,,,,
19,R303-0016,0.98,0,,,,,,,,,,,,,,,
20,R304-0009,0.75,233,0.2494895104895105,0.039077995227343905,0.25833333333333336,0.20833333333333334,0.29924242424242425,0.24967032967032968,0.058834220512904795,0.27564102564102566,0.18333333333333332,0.3173076923076923,0.2649350649350649,0.028360347794704484,0.262987012987013,0.22727272727272727,0.2987012987012987
21,R304-0009,0.85,102,0.2711025641025641,0.045210589137404715,0.2532051282051282,0.22,0.3353846153846154,0.25465201465201465,0.04766144386284633,0.24230769230769234,0.19642857142857142,0.3214285714285714,0.29545454545454547,0.043861221058786676,0.2857142857142857,0.25,0.35714285714285715
22,R304-0009,0.9,30,0.30456903880433295,0.03408173773005464,0.29692307692307696,0.256993006993007,0.34487179487179487,0.2801190476190476,0.022317856857097144,0.2833333333333333,0.24583333333333332,0.30833333333333335,0.34285714285714286,0.047915742374995504,0.3214285714285714,0.2857142857142857,0.39285714285714285
23,R304-0009,0.95,2,0.2712820512820513,0.05570361598372286,0.2948717948717949,0.21153846153846154,0.3269230769230769,0.24708333333333332,0.05935855035291884,0.27708333333333335,0.18333333333333332,0.30833333333333335,0.30714285714285716,0.05416339602893965,0.3214285714285714,0.25,0.35714285714285715
24,R304-0009,0.98,0,,,,,,,,,,,,,,,
25,R304-0010,0.75,232,0.37868697513740357,0.05499794864818499,0.3547619047619048,0.32162162162162167,0.44612403100775194,0.4468543152753679,0.1463261477900934,0.3472222222222222,0.3333333333333333,0.613095238095238,0.39291666666666664,0.038936602673805235,0.38541666666666663,0.34375,0.4458333333333333
26,R304-0010,0.85,116,0.37420748149940697,0.015330644318859159,0.3734693877551021,0.3555194805194805,0.3956521739130435,0.345783388180447,0.017072272901381885,0.33676470588235297,0.3293269230769231,0.3712121212121212,0.42045454545454547,0.015944562727729854,0.42708333333333337,0.39583333333333337,0.4375
27,R304-0010,0.9,59,0.3714275480232927,0.014031322684010574,0.37713675213675213,0.3555194805194805,0.38873626373626374,0.34195681352251045,0.007557166911141256,0.3403361344537815,0.33370535714285715,0.3524305555555556,0.4206439393939394,0.029881358320345334,0.42708333333333337,0.38541666666666663,0.45833333333333337
28,R304-0010,0.95,8,0.377957030755226,0.012288841762107566,0.37642857142857145,0.359472049689441,0.39087301587301587,0.33210058802023734,0.004273516731953222,0.3322192513368984,0.32555780933062883,0.33676470588235297,0.4458333333333333,0.025937290829143193,0.44791666666666663,0.40625,0.46875
29,R304-0010,0.98,0,,,,,,,,,,,,,,,
30,R305-0009,0.75,193,0.2574227770433081,0.03363970408823185,0.27173275368800437,0.2152286657237152,0.2973381795099571,0.41384636987288437,0.06279033120197139,0.44074440052700925,0.3016705516705517,0.44580814782053174,0.24008652583840553,0.02884831331567605,0.25258682420336553,0.20687134502923976,0.2731262680510801
31,R305-0009,0.85,59,0.3169869808822637,0.02765741961077451,0.3304829960567665,0.27820512820512827,0.3445171366469462,0.43257125560424853,0.05588865837909278,0.435,0.34950248756218905,0.5070676691729323,0.29094939730278074,0.02297025207094051,0.2942236543740303,0.2568564267812388,0.3209780403389426
